STAID,data_availability [hrs],1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
03144816,141642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1819,8205,7829,7363,7774,8782,8280,7127,7942,8662,8554,8532,8617,8716,8759,8744,7763,8174
03145000,278226,0,0,0,0,0,0,0,0,0,0,1914,8566,7415,8069,7794,7636,7936,8494,8499,7943,7222,7669,8105,7675,8548,8495,8754,8112,8495,7901,6934,7771,8784,8304,7536,7272,8178,8733,8527,8759,8750,8302,8582,8022,8530
03156000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03157000,268339,0,0,0,0,0,0,0,0,0,0,2202,8350,8086,8092,5826,6170,5178,7798,7612,6743,6911,7919,7243,7728,7920,8135,8732,8075,7879,7684,7415,7614,8759,8039,7585,7963,8301,8566,8421,8731,8784,8595,8401,8760,8122
03157500,279662,0,0,0,0,0,0,0,0,0,0,2202,8542,8687,8356,8154,7444,8007,8495,8524,8183,7847,7895,8033,7728,8064,8374,8735,7992,8088,7900,7416,7435,8544,8300,7535,7630,7702,8444,8652,8754,7810,8486,8610,8754,8340
03219500,282736,0,0,0,0,0,0,0,0,0,2919,4282,8279,8580,8628,7624,7679,8110,8107,8129,7266,7843,7622,7502,7402,7751,8412,8661,7991,8389,7557,7292,7843,8599,8470,8296,7333,8352,8609,8606,8755,8516,8150,7764,8758,8660
03220000,253910,0,0,0,0,0,0,0,0,0,0,2202,8423,7247,7924,7722,5451,2202,8375,8548,7698,7540,7749,7981,6670,7804,2419,1726,7989,7884,7064,7270,7651,8639,8420,7575,7557,8372,8635,8265,8741,8771,8002,8088,8751,8555
03221000,290775,0,0,0,0,0,0,0,0,0,0,2106,8735,8380,8153,8614,7846,8663,8759,8615,8687,7780,7890,8687,8013,8784,8530,8367,8760,8183,8256,8567,8760,8448,8760,8660,8758,8711,8759,8759,8756,8514,8516,7488,8744,8767
03223000,61332,0,0,0,0,0,0,0,0,0,0,2202,7876,7626,7249,7367,7007,7578,7871,6556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03224500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03225500,299090,0,0,0,0,0,0,0,0,0,0,2202,8734,8614,8039,8757,8759,8782,8758,8758,8759,8783,8711,8759,8750,8784,8760,8760,8760,8784,8759,8734,8760,8736,8760,8688,8756,8782,8753,8760,8759,8784,8759,8743,8760,8784
03226800,233091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,7307,8759,8590,8140,7560,8466,8011,8640,8760,8396,8563,8542,8115,8278,8442,8784,8472,8160,7841,8315,8622,8446,8555,8784,8750,8628,6831,7683
03227500,271250,0,0,0,0,0,0,0,0,0,0,2202,5639,7655,8711,8452,7654,8322,8471,8617,8093,7895,7892,8416,6550,5531,8085,6528,2179,8345,8539,7377,7783,8634,8568,8760,8759,8783,8760,8515,8742,8768,8254,8707,8280,8784
03228500,294755,0,0,0,0,0,0,0,0,0,0,2202,8182,8668,8538,8446,8755,8686,8567,8711,7775,8447,7871,8624,8758,8256,8760,8758,8756,8782,8664,8732,8638,8784,8759,8759,8710,8374,8760,8558,8638,8784,8758,8754,8759,8782
03228805,257946,0,0,0,0,0,0,0,0,0,0,1537,4452,2809,265,3327,2413,6524,7727,8591,8567,8758,8687,8755,8725,7981,7835,8563,8222,8744,7414,8470,8554,8223,8245,8346,8730,8427,8386,8387,8569,8769,8684,8760,8759,8741
03229000,68363,0,0,0,0,0,0,0,0,0,0,2201,8757,8783,8759,8399,8476,8322,8135,6531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03229500,285501,0,0,0,0,0,0,0,0,0,0,2202,8757,8735,8663,8135,8063,8135,8758,8715,8226,7996,7943,8315,7721,8424,8326,8735,8179,8542,8038,7723,7988,8692,7867,7563,7528,8418,8569,8432,8714,8727,8612,8553,8739,8768
03229610,156124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,6553,2202,8615,8233,7277,7576,8663,8519,8760,8687,8783,8748,8756,8742,8758,8760,8747,8760,8783
03229796,146641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,6555,2204,8375,7794,7342,7288,7526,8322,6744,7751,8159,8624,8385,8709,8784,8330,8725,8658,6643
