LocationID	Location	ParentLocationID	Latitude	Longitude
ABDV2	Abingdon	ABDV2	36.686111	-81.983330
ABVA1	Albertville	ABVA1	34.235554	-86.185837
ACIT1	Cumberland River at Ashland City	ACIT1	36.270556	-87.076111
AHNA1	Athens AL	AHNA1	34.790001	-86.965553
AHNT1	Athens TN	AHNT1	35.468056	-84.585831
ALBK2	Albany	ALBK2	36.746940	-85.123060
ALCT1	Little at Alcoa	ALCT1	35.808887	-83.926666
ALF	Allen Fossil Plant	ALF	35.069668	-90.138830
ALF-01	Allen-Unit1	ALF	35.075588	-90.148294
ALF-02	Allen-Unit2	ALF	35.075588	-90.148294
ALF-03	Allen-Unit3	ALF	35.075588	-90.148294
ALTT1	Altamont	ALTT1	35.431667	-85.716667
ANDT1	Anderson	ANDT1	35.003334	-85.896942
ANTT1	Mill Creek nr Antioch	ANTT1	36.081665	-86.680557
Apalachia_Powerhouse	Apalachia Powerhouse	Apalachia_Powerhouse	35.183000	-84.438000
APH-01	Apalachia-Unit1	HADT1	35.182499	-84.438332
APH-02	Apalachia-Unit2	HADT1	35.182499	-84.438332
APH-OG-01	Apalachia Dam	HADT1	35.168056	-84.295280
APH-OG-02	Apalachia Dam	HADT1	35.168056	-84.295280
APH-OG-03	Apalachia Dam	HADT1	35.168056	-84.295280
APH-OG-04	Apalachia Dam	HADT1	35.168056	-84.295280
APH-OG-05	Apalachia Dam	HADT1	35.168056	-84.295280
APH-OG-06	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-01	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-02	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-03	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-04	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-05	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-06	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-07	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-08	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-09	Apalachia Dam	HADT1	35.168056	-84.295280
APH-SP-10	Apalachia Dam	HADT1	35.168056	-84.295280
APLV2	Appalachia	APLV2	36.901943	-82.788055
ARTT1	Powell nr Arthur	ARTT1	36.542500	-83.629997
AVLN7	French Broad at Asheville	AVLN7	35.609165	-82.578613
AVRN7	Asheville	AVRN7	35.622277	-82.578460
B	Browns Ferry Nuclear Plant	B	34.706699	-87.118896
B-DS	Browns Ferry-Downstream	B	34.704259	-87.118396
B-US	Browns Ferry-Upstream	B	34.704259	-87.118396
BAKN7	Relief	BAKN7	36.046391	-82.298332
BARK2	Barkley Dam	BARK2	37.024445	-88.222778
BARK2_Headwater_for_profile	Barkley  Dam, X-Y data at HP XS in RAS model (for profile calcs)	BARK2_Headwater_for_profile	37.020380	-88.223463
BARK2E	Little at Barkley Lake	BARK2E	36.858002	-87.974998
Barkley_Canal	Barkley Canal	Barkley_Canal	36.980058	-88.238571
BBKT1	Burbank	BBKT1	36.148330	-82.101390
BBVK2	Cumberland at Barbourville	BBVK2	36.862499	-83.886948
BCBA1	Bear Creek at Bishop	BCBA1	34.655800	-88.122500
BCHT1	Beech blw Wolf Creek	BCHT1	35.641388	-88.413330
BCKT1	Beech Dam	BCKT1	35.664166	-88.419998
BCLV2	Beaver Creek Dam	BCLV2	36.641666	-82.111389
BCR-OG-01	Bear Creek Dam	BCRA1	34.399166	-87.987778
BCR-OG-02	Bear Creek Dam	BCRA1	34.399166	-87.987778
BCR-OG-03	Bear Creek Dam	BCRA1	34.399166	-87.987778
BCR-OG-04	Bear Creek Dam	BCRA1	34.399166	-87.987778
BCR-OG-05	Bear Creek Dam	BCRA1	34.399166	-87.987778
BCR-SP-01	Bear Creek Dam	BCRA1	34.399166	-87.987778
BCRA1	Bear Creek Dam	BCRA1	34.399166	-87.987778
BCRN7	Bryson City	BCRN7	35.434722	-83.442222
Bear_Creek_mouth	Bear Creek mouth	Bear_Creek_mouth	34.895820	-88.098206
BEKN7	Banner Elk	BEKN7	36.161110	-81.884720
BELT1	Harpeth at Bellevue	BELT1	36.054443	-86.928337
BENK2	Benton	BENK2	36.853889	-88.293892
BFN 01 (DS, Middle)	BFN-(01)	B	34.706700	-87.128276
BFN 03	BFN-(03)	B	0.000000	0.000000
BFN 04 (US)	BFN-(04)	B	34.663980	-87.076962
BFN 05	BFN-(05)	B	0.000000	0.000000
BFN 06	BFN-(06)	B	0.000000	0.000000
BFN 07	BFN-(07)	B	0.000000	0.000000
BFN 08	BFN-(08)	B	0.000000	0.000000
BFN 09	BFN-(09)	B	0.000000	0.000000
BFN 1/2' D	0.5' D	BFN 04 (US)	34.663980	-87.076962
BFN 10	BFN-(10)	B	0.000000	0.000000
BFN 11	BFN-(11)	B	0.000000	0.000000
BFN 11' D	11' D	BFN 04 (US)	34.663980	-87.076962
BFN 12	BFN-(12)	B	0.000000	0.000000
BFN 13	BFN-(13)	B	0.000000	0.000000
BFN 13' D	13' D	BFN 04 (US)	34.663980	-87.076962
BFN 14 (US, Backup)	BFN-(14)	B	34.682215	-87.097214
BFN 15' D	15' D	BFN 04 (US)	34.663980	-87.076962
BFN 16 (DS, Right)	BFN-(16)	B	34.707210	-87.127842
BFN 17 (DS, Left)	BFN-(17)	B	34.703691	-87.130883
BFN 17' D	17' D	BFN 04 (US)	34.663980	-87.076962
BFN 18 (Gate Structure 1)	BFN-(18)	B	34.703464	-87.120768
BFN 19 (Skimmer Wall)	BFN-(19)	B	34.700733	-87.117587
BFN 20 (Met Station)	BFN-(20)	B	34.701040	-87.108283
BFN 20' D	20' D	BFN 04 (US)	34.663980	-87.076962
BFN 3' D	03' D	BFN 04 (US)	34.663980	-87.076962
BFN 49 (Summary)	BFN-(49)	B	34.701040	-87.108283
BFN 5' D	05' D	BFN 04 (US)	34.663980	-87.076962
BFN 50 (Summary)	BFN-(50)	B	34.701040	-87.108283
BFN 51 (Forecast)	BFN-(51)	B	34.701040	-87.108283
BFN 7' D	07' D	BFN 04 (US)	34.663980	-87.076962
BFN 9' D	09' D	BFN 04 (US)	34.663980	-87.076962
BFN Gate 1	BFN Gate 1	B	34.701040	-87.108283
BFN Gate 1a	BFN Gate 1a	B	34.701040	-87.108283
BFN Gate 1a Bypass	BFN Gate 1a Bypass	B	34.701040	-87.108283
BFN Gate 2	BFN Gate 2	B	34.701040	-87.108283
BFN Outfall 101 (Diffuser)	BFN-(101)	B	34.701040	-87.108283
BFN Tower 1	BFN Tower 1	B	34.701040	-87.108283
BFN Tower 2	BFN Tower 2	B	34.701040	-87.108283
BFN Tower 3	BFN Tower 3	B	34.701040	-87.108283
BFN Tower 4	BFN Tower 4	B	34.701040	-87.108283
BFN Tower 5	BFN Tower 5	B	34.701040	-87.108283
BFN Tower 6	BFN Tower 6	B	34.701040	-87.108283
BFN Tower 7	BFN Tower 7	B	34.701040	-87.108283
BFN Unit 1	BFN Unit 1	B	34.701040	-87.108283
BFN Unit 2	BFN Unit 2	B	34.701040	-87.108283
BFN Unit 3	BFN Unit 3	B	34.701040	-87.108283
BFN-01	Browns Ferry-Unit1	B	34.704259	-87.118396
BFN-02	Browns Ferry-Unit2	B	34.704259	-87.118396
BFN-03	Browns Ferry-Unit3	B	34.704259	-87.118396
BFN_52_(Validation)	BFN-(52)	B	34.701040	-87.108283
BFN_53_(Delft3D)	BFN-(53)	B	34.701040	-87.108283
BFN_53_(Delft3D)_48hours	BFN-(53)_48hr	B	34.701040	-87.108283
BFN_53_(Delft3D)_5day	BFN-(53)_5d	B	34.701040	-87.108283
BFN_Forebay	BFN_Forebay D3D profiles	BFN_Forebay	34.702143	-87.117764
BFN_Forebay_Layer_1	BFN_Forebay_Layer_1	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_10	BFN_Forebay_Layer_10	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_11	BFN_Forebay_Layer_11	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_12	BFN_Forebay_Layer_12	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_13	BFN_Forebay_Layer_13	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_14	BFN_Forebay_Layer_14	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_15	BFN_Forebay_Layer_15	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_16	BFN_Forebay_Layer_16	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_17	BFN_Forebay_Layer_17	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_18	BFN_Forebay_Layer_18	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_19	BFN_Forebay_Layer_19	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_2	BFN_Forebay_Layer_2	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_20	BFN_Forebay_Layer_20	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_21	BFN_Forebay_Layer_21	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_22	BFN_Forebay_Layer_22	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_23	BFN_Forebay_Layer_23	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_24	BFN_Forebay_Layer_24	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_25	BFN_Forebay_Layer_25	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_26	BFN_Forebay_Layer_26	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_27	BFN_Forebay_Layer_27	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_28	BFN_Forebay_Layer_28	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_29	BFN_Forebay_Layer_29	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_3	BFN_Forebay_Layer_3	BFN_Forebay	0.000000	0.000000
BFN_Forebay_Layer_30	BFN_Forebay_Layer_30	BFN_Forebay	0.000000	0.000000
